"","Size (nt)","Category","Protein","No. Genes"
"1","203503","Auxilliary metabolic genes","Dihydrofolate reductase",1
"2","203503","DNA-binding and transcription regulators","Rec A-like recombinase",1
"3","203503","DNA-binding and transcription regulators","Transposase",2
"4","203503","Lysis","Lysozyme",1
"5","203503","Packaging and assembly","Adhesin",1
"6","203503","Packaging and assembly","Terminase large subunit protein",1
"7","203503","Replication and nucleic acid metabolism","DNA helicase",2
"8","203503","Replication and nucleic acid metabolism","DNA ligase",1
"9","203503","Replication and nucleic acid metabolism","DNA polymerase",2
"10","203503","Replication and nucleic acid metabolism","Exonuclease",1
"11","203503","Replication and nucleic acid metabolism","Recombination endonuclease subunit",2
"12","203503","Replication and nucleic acid metabolism","Thymidylate synthase",1
"13","203503","Structural proteins","Baseplate hub subunit",1
"14","203503","Structural proteins","Baseplate wedge subunit",1
"15","203503","Structural proteins","Major capsid protein",2
"16","203503","Structural proteins","Neck protein",1
"17","203503","Structural proteins","Portal vertex protein",1
"18","203503","Structural proteins","Prohead core scaffolding protein and protease ",1
"19","203503","Structural proteins","Tail sheath protein ",1
"20","203503","Structural proteins","Tail tube protein",1
"21","204796","Auxilliary metabolic genes","Dihydrofolate reductase",2
"22","204796","Lysis","LysC protein",2
"23","204796","Packaging and assembly","Adhesin",2
"24","204796","Replication and nucleic acid metabolism","DNA helicase",6
"25","204796","Replication and nucleic acid metabolism","Recombination endonuclease subunit",2
"26","204796","Replication and nucleic acid metabolism","Ribonuclease H",2
"27","204796","Replication and nucleic acid metabolism","Ribonucleotide reductase",2
"28","204796","Replication and nucleic acid metabolism","Ribonucleotide reductase subunit",2
"29","204796","Replication and nucleic acid metabolism","Thymidylate synthase",2
"30","204796","Structural proteins","Major capsid protein",2
"31","204796","Structural proteins","Tail sheath protein ",2
"32","204796","Structural proteins","Virion structural protein",14
"33","204838","Auxilliary metabolic genes","Dihydrofolate reductase",2
"34","204838","Lysis","LysC protein",2
"35","204838","Packaging and assembly","Adhesin",2
"36","204838","Replication and nucleic acid metabolism","DNA helicase",6
"37","204838","Replication and nucleic acid metabolism","Recombination endonuclease subunit",2
"38","204838","Replication and nucleic acid metabolism","Ribonuclease H",2
"39","204838","Replication and nucleic acid metabolism","Ribonucleotide reductase",2
"40","204838","Replication and nucleic acid metabolism","Ribonucleotide reductase subunit",2
"41","204838","Replication and nucleic acid metabolism","Thymidylate synthase",2
"42","204838","Structural proteins","Major capsid protein",2
"43","204838","Structural proteins","Tail sheath protein ",2
"44","204838","Structural proteins","Virion structural protein",14
"45","207354","Auxilliary metabolic genes","Dihydrofolate reductase",1
"46","207354","DNA-binding and transcription regulators","Rec A-like recombinase",1
"47","207354","DNA-binding and transcription regulators","Transposase",6
"48","207354","Lysis","Lysozyme",1
"49","207354","Packaging and assembly","Adhesin",1
"50","207354","Packaging and assembly","Terminase large subunit protein",1
"51","207354","Replication and nucleic acid metabolism","DNA helicase",2
"52","207354","Replication and nucleic acid metabolism","DNA ligase",1
"53","207354","Replication and nucleic acid metabolism","DNA polymerase",2
"54","207354","Replication and nucleic acid metabolism","Exonuclease",1
"55","207354","Replication and nucleic acid metabolism","Recombination endonuclease subunit",2
"56","207354","Replication and nucleic acid metabolism","Thymidylate synthase",1
"57","207354","Structural proteins","Baseplate hub subunit",1
"58","207354","Structural proteins","Baseplate wedge subunit",1
"59","207354","Structural proteins","Major capsid protein",2
"60","207354","Structural proteins","Neck protein",1
"61","207354","Structural proteins","Portal vertex protein",1
"62","207354","Structural proteins","Prohead core scaffolding protein and protease ",1
"63","207354","Structural proteins","Tail sheath protein ",1
"64","207354","Structural proteins","Tail tube protein",1
"65","208248","Auxilliary metabolic genes","Dihydrofolate reductase",1
"66","208248","DNA-binding and transcription regulators","Rec A-like recombinase",1
"67","208248","DNA-binding and transcription regulators","Transposase",5
"68","208248","Lysis","Lysozyme",1
"69","208248","Packaging and assembly","Adhesin",1
"70","208248","Packaging and assembly","Terminase large subunit protein",1
"71","208248","Replication and nucleic acid metabolism","DNA helicase",2
"72","208248","Replication and nucleic acid metabolism","DNA ligase",1
"73","208248","Replication and nucleic acid metabolism","DNA polymerase",1
"74","208248","Replication and nucleic acid metabolism","Exonuclease",1
"75","208248","Replication and nucleic acid metabolism","Recombination endonuclease subunit",2
"76","208248","Replication and nucleic acid metabolism","Thymidylate synthase",1
"77","208248","Structural proteins","Baseplate hub subunit",1
"78","208248","Structural proteins","Baseplate wedge subunit",1
"79","208248","Structural proteins","Major capsid protein",2
"80","208248","Structural proteins","Neck protein",1
"81","208248","Structural proteins","Portal vertex protein",1
"82","208248","Structural proteins","Prohead core scaffolding protein and protease ",1
"83","208248","Structural proteins","Tail sheath protein ",1
"84","208248","Structural proteins","Tail tube protein",1
"85","210989","DNA-binding and transcription regulators","AAA ATPase",8
"86","210989","DNA-binding and transcription regulators","RNA polymerase sigma factor",8
"87","210989","DNA-binding and transcription regulators","Transposase",48
"88","210989","Lysis","Peptidase M23",8
"89","210989","Packaging and assembly","Adhesin",8
"90","210989","Replication and nucleic acid metabolism","DNA helicase",32
"91","210989","Replication and nucleic acid metabolism","DNA polymerase",24
"92","210989","Replication and nucleic acid metabolism","Thymidylate kinase",8
"93","210989","Structural proteins","Major capsid protein",8
"94","210989","Structural proteins","Portal protein",8
"95","210989","Structural proteins","Tail sheath protein ",8
"96","210991","DNA-binding and transcription regulators","AAA ATPase",4
"97","210991","DNA-binding and transcription regulators","RNA polymerase sigma factor",4
"98","210991","DNA-binding and transcription regulators","Transposase",24
"99","210991","Lysis","Peptidase M23",4
"100","210991","Packaging and assembly","Adhesin",4
"101","210991","Replication and nucleic acid metabolism","DNA helicase",16
"102","210991","Replication and nucleic acid metabolism","DNA polymerase",12
"103","210991","Replication and nucleic acid metabolism","Thymidylate kinase",4
"104","210991","Structural proteins","Major capsid protein",4
"105","210991","Structural proteins","Portal protein",4
"106","210991","Structural proteins","Tail sheath protein ",4
"107","211049","Lysis","Endolysin",2
"108","211049","Replication and nucleic acid metabolism","DHH phosphoesterase",2
"109","211049","Replication and nucleic acid metabolism","DNA helicase",4
"110","211049","Replication and nucleic acid metabolism","NAD-dependent DNA ligase subunit A",2
"111","211049","Replication and nucleic acid metabolism","Recombination endonuclease subunit",2
"112","211049","Replication and nucleic acid metabolism","Ribonuclease H",2
"113","211049","Replication and nucleic acid metabolism","Thymidylate kinase",2
"114","211049","Replication and nucleic acid metabolism","Thymidylate synthase",2
"115","211049","Structural proteins","Major capsid protein",2
"116","211049","Structural proteins","Tail sheath protein ",2
"117","211049","Structural proteins","Virion structural protein",18
"118","213047","DNA-binding and transcription regulators","AAA ATPase",4
"119","213047","DNA-binding and transcription regulators","RNA polymerase sigma factor",4
"120","213047","DNA-binding and transcription regulators","Transposase",24
"121","213047","Lysis","Peptidase M23",4
"122","213047","Packaging and assembly","Adhesin",4
"123","213047","Replication and nucleic acid metabolism","DNA helicase",16
"124","213047","Replication and nucleic acid metabolism","DNA polymerase",12
"125","213047","Replication and nucleic acid metabolism","Thymidylate kinase",4
"126","213047","Structural proteins","Major capsid protein",4
"127","213047","Structural proteins","Portal protein",4
"128","213047","Structural proteins","Tail sheath protein ",4
"129","213596","Auxilliary metabolic genes","Dihydrofolate reductase",2
"130","213596","DNA-binding and transcription regulators","Rec A-like recombinase",2
"131","213596","DNA-binding and transcription regulators","Transposase",18
"132","213596","Lysis","Lysozyme",2
"133","213596","Packaging and assembly","Adhesin",2
"134","213596","Packaging and assembly","Terminase large subunit protein",2
"135","213596","Replication and nucleic acid metabolism","DNA helicase",4
"136","213596","Replication and nucleic acid metabolism","DNA ligase",2
"137","213596","Replication and nucleic acid metabolism","DNA polymerase",2
"138","213596","Replication and nucleic acid metabolism","Exonuclease",4
"139","213596","Replication and nucleic acid metabolism","Recombination endonuclease subunit",2
"140","213596","Replication and nucleic acid metabolism","Thymidylate synthase",2
"141","213596","Structural proteins","Baseplate hub subunit",2
"142","213596","Structural proteins","Baseplate wedge subunit",2
"143","213596","Structural proteins","Major capsid protein",2
"144","213596","Structural proteins","Neck protein",2
"145","213596","Structural proteins","Portal vertex protein",2
"146","213596","Structural proteins","Prohead core scaffolding protein and protease ",2
"147","213596","Structural proteins","Tail sheath protein ",2
"148","213596","Structural proteins","Tail tube protein",2
"149","214576","Auxilliary metabolic genes","Dihydrofolate reductase",2
"150","214576","DNA-binding and transcription regulators","Rec A-like recombinase",2
"151","214576","DNA-binding and transcription regulators","Transposase",18
"152","214576","Lysis","Lysozyme",2
"153","214576","Packaging and assembly","Adhesin",2
"154","214576","Packaging and assembly","Terminase large subunit protein",2
"155","214576","Replication and nucleic acid metabolism","DNA helicase",4
"156","214576","Replication and nucleic acid metabolism","DNA ligase",2
"157","214576","Replication and nucleic acid metabolism","DNA polymerase",2
"158","214576","Replication and nucleic acid metabolism","Exonuclease",4
"159","214576","Replication and nucleic acid metabolism","Recombination endonuclease subunit",2
"160","214576","Replication and nucleic acid metabolism","Thymidylate synthase",2
"161","214576","Structural proteins","Baseplate hub subunit",2
"162","214576","Structural proteins","Baseplate wedge subunit",2
"163","214576","Structural proteins","Major capsid protein",2
"164","214576","Structural proteins","Neck protein",2
"165","214576","Structural proteins","Portal vertex protein",2
"166","214576","Structural proteins","Prohead core scaffolding protein and protease ",2
"167","214576","Structural proteins","Tail sheath protein ",2
"168","214576","Structural proteins","Tail tube protein",2
"169","220432","Lysis","Endolysin",2
"170","220432","Replication and nucleic acid metabolism","DNA helicase",4
"171","220432","Replication and nucleic acid metabolism","Recombination endonuclease subunit",2
"172","220432","Replication and nucleic acid metabolism","Ribonuclease H",2
"173","220432","Replication and nucleic acid metabolism","Thymidylate kinase",2
"174","220432","Structural proteins","Major capsid protein",2
"175","220432","Structural proteins","Tail sheath protein ",2
"176","220432","Structural proteins","Virion structural protein",16
"177","225008","Lysis","Endolysin",2
"178","225008","Packaging and assembly","Adhesin",2
"179","225008","Replication and nucleic acid metabolism","DNA helicase",2
"180","225008","Replication and nucleic acid metabolism","HNH endonuclease domain protein",2
"181","225008","Replication and nucleic acid metabolism","Recombination endonuclease subunit",2
"182","225008","Replication and nucleic acid metabolism","Ribonuclease H",2
"183","225008","Replication and nucleic acid metabolism","Thymidylate kinase",2
"184","225008","Structural proteins","Major capsid protein",2
"185","225008","Structural proteins","Tail sheath protein ",2
"186","225008","Structural proteins","Virion structural protein",18
"187","226085","DNA-binding and transcription regulators","AAA ATPase",8
"188","226085","DNA-binding and transcription regulators","Transposase",8
"189","226085","Lysis","Cell wall hydrolase protein",4
"190","226085","Lysis","Peptidase M23",4
"191","226085","Replication and nucleic acid metabolism","DNA helicase",20
"192","226085","Replication and nucleic acid metabolism","DNA ligase",4
"193","226085","Replication and nucleic acid metabolism","DNA polymerase",8
"194","226085","Replication and nucleic acid metabolism","Thymidylate synthase",4
"195","226085","Structural proteins","Major capsid protein",4
"196","226085","Structural proteins","Portal protein",4
"197","226085","Structural proteins","Tail sheath protein ",4
"198","226085","Structural proteins","Tape measure protein",4
"199","227714","Lysis","Endolysin",3
"200","227714","Packaging and assembly","Adhesin",3
"201","227714","Replication and nucleic acid metabolism","DNA helicase",3
"202","227714","Replication and nucleic acid metabolism","HNH endonuclease domain protein",3
"203","227714","Replication and nucleic acid metabolism","Recombination endonuclease subunit",3
"204","227714","Replication and nucleic acid metabolism","Ribonuclease H",3
"205","227714","Replication and nucleic acid metabolism","Thymidylate kinase",3
"206","227714","Structural proteins","Major capsid protein",3
"207","227714","Structural proteins","Tail sheath protein ",3
"208","227714","Structural proteins","Virion structural protein",27
"209","227716","Lysis","Endolysin",3
"210","227716","Packaging and assembly","Adhesin",3
"211","227716","Replication and nucleic acid metabolism","DNA helicase",3
"212","227716","Replication and nucleic acid metabolism","HNH endonuclease domain protein",3
"213","227716","Replication and nucleic acid metabolism","Recombination endonuclease subunit",3
"214","227716","Replication and nucleic acid metabolism","Ribonuclease H",3
"215","227716","Replication and nucleic acid metabolism","Thymidylate kinase",3
"216","227716","Structural proteins","Major capsid protein",3
"217","227716","Structural proteins","Tail sheath protein ",3
"218","227716","Structural proteins","Virion structural protein",27
"219","227958","Lysis","Endolysin",1
"220","227958","Packaging and assembly","Adhesin",1
"221","227958","Replication and nucleic acid metabolism","DNA helicase",1
"222","227958","Replication and nucleic acid metabolism","HNH endonuclease domain protein",1
"223","227958","Replication and nucleic acid metabolism","Recombination endonuclease subunit",1
"224","227958","Replication and nucleic acid metabolism","Ribonuclease H",1
"225","227958","Replication and nucleic acid metabolism","Thymidylate kinase",1
"226","227958","Structural proteins","Major capsid protein",1
"227","227958","Structural proteins","Tail sheath protein ",1
"228","227958","Structural proteins","Virion structural protein",9
"229","228010","Lysis","Endolysin",3
"230","228010","Packaging and assembly","Adhesin",3
"231","228010","Replication and nucleic acid metabolism","DNA helicase",3
"232","228010","Replication and nucleic acid metabolism","HNH endonuclease domain protein",3
"233","228010","Replication and nucleic acid metabolism","Recombination endonuclease subunit",3
"234","228010","Replication and nucleic acid metabolism","Ribonuclease H",3
"235","228010","Replication and nucleic acid metabolism","Thymidylate kinase",3
"236","228010","Structural proteins","Major capsid protein",3
"237","228010","Structural proteins","Tail sheath protein ",3
"238","228010","Structural proteins","Virion structural protein",30
"239","228149","Lysis","Endolysin",2
"240","228149","Packaging and assembly","Adhesin",2
"241","228149","Replication and nucleic acid metabolism","DNA helicase",2
"242","228149","Replication and nucleic acid metabolism","HNH endonuclease domain protein",2
"243","228149","Replication and nucleic acid metabolism","Recombination endonuclease subunit",2
"244","228149","Replication and nucleic acid metabolism","Ribonuclease H",2
"245","228149","Replication and nucleic acid metabolism","Thymidylate kinase",2
"246","228149","Structural proteins","Baseplate wedge initiator",2
"247","228149","Structural proteins","Major capsid protein",2
"248","228149","Structural proteins","Tail sheath protein ",2
"249","228149","Structural proteins","Virion structural protein",18
"250","228442","Lysis","Endolysin",3
"251","228442","Packaging and assembly","Adhesin",3
"252","228442","Replication and nucleic acid metabolism","DNA helicase",3
"253","228442","Replication and nucleic acid metabolism","HNH endonuclease domain protein",3
"254","228442","Replication and nucleic acid metabolism","Recombination endonuclease subunit",3
"255","228442","Replication and nucleic acid metabolism","Ribonuclease H",3
"256","228442","Replication and nucleic acid metabolism","Thymidylate kinase",3
"257","228442","Structural proteins","Major capsid protein",3
"258","228442","Structural proteins","Tail sheath protein ",3
"259","228442","Structural proteins","Virion structural protein",27
"260","228444","Lysis","Endolysin",3
"261","228444","Packaging and assembly","Adhesin",3
"262","228444","Replication and nucleic acid metabolism","DNA helicase",3
"263","228444","Replication and nucleic acid metabolism","HNH endonuclease domain protein",3
"264","228444","Replication and nucleic acid metabolism","Recombination endonuclease subunit",3
"265","228444","Replication and nucleic acid metabolism","Ribonuclease H",3
"266","228444","Replication and nucleic acid metabolism","Thymidylate kinase",3
"267","228444","Structural proteins","Major capsid protein",3
"268","228444","Structural proteins","Tail sheath protein ",3
"269","228444","Structural proteins","Virion structural protein",27
"270","228445","Lysis","Endolysin",3
"271","228445","Packaging and assembly","Adhesin",3
"272","228445","Replication and nucleic acid metabolism","DNA helicase",3
"273","228445","Replication and nucleic acid metabolism","HNH endonuclease domain protein",3
"274","228445","Replication and nucleic acid metabolism","Recombination endonuclease subunit",3
"275","228445","Replication and nucleic acid metabolism","Ribonuclease H",3
"276","228445","Replication and nucleic acid metabolism","Thymidylate kinase",3
"277","228445","Structural proteins","Major capsid protein",3
"278","228445","Structural proteins","Tail sheath protein ",3
"279","228445","Structural proteins","Virion structural protein",27
"280","228522","Auxilliary metabolic genes","Dihydrofolate reductase",2
"281","228522","DNA-binding and transcription regulators","AAA ATPase",2
"282","228522","DNA-binding and transcription regulators","RNA polymerase sigma factor",2
"283","228522","DNA-binding and transcription regulators","Transposase",6
"284","228522","Lysis","Peptidase M23",2
"285","228522","Packaging and assembly","Adhesin",4
"286","228522","Replication and nucleic acid metabolism","DNA helicase",12
"287","228522","Replication and nucleic acid metabolism","DNA polymerase",4
"288","228522","Replication and nucleic acid metabolism","DNA topisomerase subunit",6
"289","228522","Replication and nucleic acid metabolism","Thymidylate kinase",2
"290","228522","Replication and nucleic acid metabolism","Thymidylate synthase",2
"291","228522","Structural proteins","Major capsid protein",2
"292","228522","Structural proteins","Portal protein",2
"293","228522","Structural proteins","Tail sheath protein ",2
"294","228781","Auxilliary metabolic genes","Dihydrofolate reductase",2
"295","228781","DNA-binding and transcription regulators","AAA ATPase",2
"296","228781","DNA-binding and transcription regulators","RNA polymerase sigma factor",2
"297","228781","DNA-binding and transcription regulators","Transposase",6
"298","228781","Packaging and assembly","Adhesin",2
"299","228781","Replication and nucleic acid metabolism","DNA helicase",10
"300","228781","Replication and nucleic acid metabolism","DNA polymerase",4
"301","228781","Replication and nucleic acid metabolism","DNA topisomerase subunit",6
"302","228781","Replication and nucleic acid metabolism","Thymidylate kinase",2
"303","228781","Replication and nucleic acid metabolism","Thymidylate synthase",2
"304","228781","Structural proteins","Major capsid protein",2
"305","228781","Structural proteins","Morphogenesis protein",2
"306","228781","Structural proteins","Portal protein",2
"307","228781","Structural proteins","Tail sheath protein ",2
"308","229051","Lysis","Endolysin",3
"309","229051","Packaging and assembly","Adhesin",3
"310","229051","Replication and nucleic acid metabolism","DNA helicase",3
"311","229051","Replication and nucleic acid metabolism","HNH endonuclease domain protein",3
"312","229051","Replication and nucleic acid metabolism","Recombination endonuclease subunit",3
"313","229051","Replication and nucleic acid metabolism","Ribonuclease H",3
"314","229051","Replication and nucleic acid metabolism","Thymidylate kinase",3
"315","229051","Structural proteins","Major capsid protein",3
"316","229051","Structural proteins","Tail sheath protein ",3
"317","229051","Structural proteins","Virion structural protein",30
"318","229773","Auxilliary metabolic genes","Dihydrofolate reductase",2
"319","229773","DNA-binding and transcription regulators","AAA ATPase",2
"320","229773","DNA-binding and transcription regulators","RNA polymerase sigma factor",2
"321","229773","DNA-binding and transcription regulators","Transposase",6
"322","229773","Lysis","Peptidase M23",2
"323","229773","Packaging and assembly","Adhesin",4
"324","229773","Replication and nucleic acid metabolism","DNA helicase",10
"325","229773","Replication and nucleic acid metabolism","DNA polymerase",4
"326","229773","Replication and nucleic acid metabolism","DNA topisomerase subunit",6
"327","229773","Replication and nucleic acid metabolism","Thymidylate kinase",2
"328","229773","Replication and nucleic acid metabolism","Thymidylate synthase",2
"329","229773","Structural proteins","Major capsid protein",2
"330","229773","Structural proteins","Portal protein",2
"331","229773","Structural proteins","Tail sheath protein ",2
"332","229992","Auxilliary metabolic genes","Dihydrofolate reductase",1
"333","229992","DNA-binding and transcription regulators","AAA ATPase",2
"334","229992","DNA-binding and transcription regulators","RNA polymerase sigma factor",1
"335","229992","DNA-binding and transcription regulators","Transposase",1
"336","229992","Lysis","Peptidase M23",1
"337","229992","Packaging and assembly","Adhesin",1
"338","229992","Replication and nucleic acid metabolism","DNA helicase",4
"339","229992","Replication and nucleic acid metabolism","DNA polymerase",3
"340","229992","Replication and nucleic acid metabolism","Thymidylate kinase",1
"341","229992","Replication and nucleic acid metabolism","Thymidylate synthase",1
"342","229992","Structural proteins","Major capsid protein",1
"343","229992","Structural proteins","Portal protein",1
"344","229992","Structural proteins","Tail sheath protein ",1
"345","231249","Auxilliary metabolic genes","Dihydrofolate reductase",2
"346","231249","DNA-binding and transcription regulators","AAA ATPase",4
"347","231249","DNA-binding and transcription regulators","RNA polymerase sigma factor",2
"348","231249","DNA-binding and transcription regulators","Transposase",4
"349","231249","Lysis","Peptidase M23",2
"350","231249","Packaging and assembly","Adhesin",2
"351","231249","Replication and nucleic acid metabolism","DNA helicase",10
"352","231249","Replication and nucleic acid metabolism","DNA polymerase",4
"353","231249","Replication and nucleic acid metabolism","DNA topisomerase subunit",8
"354","231249","Replication and nucleic acid metabolism","Thymidylate kinase",2
"355","231249","Replication and nucleic acid metabolism","Thymidylate synthase",2
"356","231249","Structural proteins","Major capsid protein",2
"357","231249","Structural proteins","Portal protein",2
"358","231249","Structural proteins","Tail sheath protein ",2
"359","232905","Auxilliary metabolic genes","Dihydrofolate reductase",2
"360","232905","DNA-binding and transcription regulators","AAA ATPase",2
