name	size	circular	host	location	environment	country.or.region	study	environment_cols	host_cols	study_cols	vcontact_cluster	cluster_cols
GWF2_PHAGE_CIR_41_11_1	305866	circular	Proteobacteria	Groundwater, Rifle, Colorado	Outside environment	USA	Al-Shayeb et al.	#66C2A5	#8DD3C7	#E41A1C	GWF2_PHAGE_CIR_41_11	NA
R2_PHAGE_46_52_1	283806	linear	Proteobacteria	Neonatal Intensive Care Unit, Pittsburgh	Intensive Care Unit	USA	Al-Shayeb et al.	#FC8D62	#8DD3C7	#E41A1C	R2_PHAGE_46_52	NA
F-24_PHAGE_27_21_1	279625	linear	Proteobacteria	Baboon fecal samples, Kenya	Baboon fecal samples	Kenya	Devoto et al.	#8DA0CB	#8DD3C7	#377EB8	F-24_PHAGE_27_21	NA
ALT_PHAGE_CIR_40_13_1	223190	circular	Proteobacteria	Mine tailings impoundment –1, Manitoba Canada	Outside environment	Canada	Al-Shayeb et al.	#66C2A5	#8DD3C7	#E41A1C	ALT_PHAGE_CIR_40_13	NA
BML_PHAGE_45_11_1	322368	linear	Proteobacteria	Pit Lake, Alberta, Canada	Outside environment	Canada	Al-Shayeb et al.	#66C2A5	#8DD3C7	#E41A1C	BML_PHAGE_45_11	NA
SALIVA_PHAGE_CIR_35_33_1	243172	circular	Proteobacteria	Saliva pregnant woman, preterm delivery, California	Adult saliva	USA	Al-Shayeb et al.	#E16462FF	#8DD3C7	#E41A1C	SALIVA_PHAGE_CIR_35_33	NA
FFC_PHAGE_CIR_38_15_1	214014	circular	Proteobacteria	Mine tailings Impoundment-2, Manitoba, Canada	Outside environment	Canada	Al-Shayeb et al.	#66C2A5	#8DD3C7	#E41A1C	FFC_PHAGE_CIR_38_15	NA
SR-VP_PHAGE_CIR_49_18_1	369613	circular	Proteobacteria	Vernal pool mud, Lake County, California	Outside environment	USA	Al-Shayeb et al.	#66C2A5	#8DD3C7	#E41A1C	SR-VP_PHAGE_CIR_49_18	NA
SR-VP_PHAGE_30_18_1	291182	linear	Bacteroidetes	Vernal pool mud, Lake County, California	Outside environment	USA	Al-Shayeb et al.	#66C2A5	#FFFFB3	#E41A1C	SR-VP_PHAGE_30_18	NA
LP_PHAGE_29_14_1	261948	linear	Bacteroidetes	Lac Pavin, France	Outside environment	France	Al-Shayeb et al.	#66C2A5	#FFFFB3	#E41A1C	LP_PHAGE_29_14	NA
BML_PHAGE_CIR_30_13_1	312403	circular	Bacteroidetes	Pit Lake, Alberta, Canada	Outside environment	Canada	Al-Shayeb et al.	#66C2A5	#FFFFB3	#E41A1C	BML_PHAGE_CIR_30_13	NA
R2_PHAGE_47_28_1	291133	linear	Proteobacteria	Neonatal Intensive Care Unit, Pittsburgh	Intensive Care Unit	USA	Al-Shayeb et al.	#FC8D62	#8DD3C7	#E41A1C	R2_PHAGE_47_28	NA
SR-VP_PHAGE_54_15_1	230466	linear	Proteobacteria	Vernal pool mud, Lake County, California	Outside environment	USA	Al-Shayeb et al.	#66C2A5	#8DD3C7	#E41A1C	SR-VP_PHAGE_54_15	NA
