name	environment	country or region	study
A3_PHAGE_COMPLETE_CIR-CU-CL_34_1_1	Adult fecal samples	Bangladesh	Devoto et al.
A4_PHAGE_COMPLETE_CIR-CU-CL_34_1_1	Adult fecal samples	Bangladesh	Devoto et al.
ALT_PHAGE_24_16_1	Outside environment	Canada	Al-Shayeb et al.
ALT_PHAGE_40_9_1	Outside environment	Canada	Al-Shayeb et al.
ALT_PHAGE_CIR_40_13_1	Outside environment	Canada	Al-Shayeb et al.
BML_PHAGE_29_17_1	Outside environment	Canada	Al-Shayeb et al.
BML_PHAGE_34_18_1	Outside environment	Canada	Al-Shayeb et al.
BML_PHAGE_34_18_2	Outside environment	Canada	Al-Shayeb et al.
BML_PHAGE_45_11_1	Outside environment	Canada	Al-Shayeb et al.
BML_PHAGE_48_21_1	Outside environment	Canada	Al-Shayeb et al.
BML_PHAGE_CIR_30_13_1	Outside environment	Canada	Al-Shayeb et al.
BML_PHAGE_CIR_40_15_B_1	Outside environment	Canada	Al-Shayeb et al.
BML_PHAGE_CIR_42_5_1	Outside environment	Canada	Al-Shayeb et al.
BML_PHAGE_COMPLETE_CIR-CU-CL_30_21_1	Outside environment	Canada	Al-Shayeb et al.
ER_PHAGE_49_14_1	Outside environment	USA	Al-Shayeb et al.
ERM_PHAGE_CIR_34_117_1	Outside environment	Canada	Al-Shayeb et al.
ERR1474568_NODE_4_length_227053_cov_6.57548_96	Adult saliva	Philippines	This study
ERR1474568_NODE_6_length_201530_cov_57.6677_231	Adult saliva	Philippines	This study
ERR1474570_NODE_3_length_211527_cov_11.7559_55	Adult saliva	Philippines	This study
ERR1474583_NODE_1_length_238631_cov_8.08518_143	Adult saliva	Philippines	This study
ERR1474584_NODE_1_length_239551_cov_58.3549_72	Adult saliva	Philippines	This study
ERR589366_NODE_2_length_252267_cov_5.86855_154	Adult dental plaque	China	This study
ERR589374_NODE_1_length_250771_cov_7.48575_207	Adult dental plaque	China	This study
ERR589390_NODE_5_length_254595_cov_11.1926_161	Adult saliva	China	This study
ERR589400_NODE_2_length_222094_cov_17.9067_63	Adult saliva	China	This study
ERR589418_NODE_2_length_253972_cov_14.627_157	Adult saliva	China	This study
ERR589418_NODE_3_length_253054_cov_15.5374_159	Adult saliva	China	This study
ERR589420_NODE_11_length_203503_cov_92.1356_162	Adult saliva	China	This study
ERR589420_NODE_11_length_203503_cov_92.1356_164	Adult saliva	China	This study
ERR589420_NODE_12_length_203291_cov_5.79902_163	Adult saliva	China	This study
ERR589420_NODE_6_length_229992_cov_13.7426_182	Adult saliva	China	This study
ERR589426_NODE_11_length_235074_cov_32.5489_214	Adult saliva	China	This study
ERR589432_NODE_16_length_215843_cov_9.61145_74	Adult saliva	China	This study
ERR589796_NODE_1_length_512029_cov_8.91079_144	Adult fecal samples	China	This study
ERR589826_NODE_12_length_228591_cov_8.75589_239	Adult fecal samples	China	This study
F-24_PHAGE_27_21_1	Baboon fecal samples	Kenya	Devoto et al.
F31_PHAGE_CIR_26_47_1	Baboon fecal samples	Kenya	Devoto et al.
FFC_PHAGE_43_1208_1	Outside environment	Canada	Al-Shayeb et al.
FFC_PHAGE_44_113_1	Outside environment	Canada	Al-Shayeb et al.
FFC_PHAGE_CIR_38_15_1	Outside environment	Canada	Al-Shayeb et al.
FFC_PHAGE_CIR_42_59_1	Outside environment	Canada	Al-Shayeb et al.
FFSP_PHAGE_34_11_1	Outside environment	Canada	Al-Shayeb et al.
Ga0247723_1000001_88	Outside environment	USA	IMG/VR
Ga0257110_1000001_93	Outside environment	Canada	IMG/VR
GM_PHAGE_38_38_1	Outside environment	Canada	Al-Shayeb et al.
GWC1_PHAGE_CIR_34_18_1	Outside environment	USA	Al-Shayeb et al.
GWF2_PHAGE_CIR_41_11_1	Outside environment	USA	Al-Shayeb et al.
