description_contains	parent	name
DNA methylase	DNA-binding and transcription regulators	DNA methylase
RNA polymerase sigma factor	DNA-binding and transcription regulators	RNA polymerase sigma factor
HNH endonuclease	Replication and nucleic acid metabolism	HNH endonuclease
DNA topisomerase II medium subunit	Replication and nucleic acid metabolism	DNA topisomerase subunit
DNA topoisomerase II large subunit	Replication and nucleic acid metabolism	DNA topisomerase subunit
helicase	Replication and nucleic acid metabolism	DNA helicase
"Exodeoxyribonuclease VII, single-stranded DNA-specific exonuclease"	Replication and nucleic acid metabolism	DNA exonuclease
glutaredoxin	Auxilliary metabolic genes	Glutaredoxin
integrase	Packaging and assembly	Integrase
DNA polymerase	Replication and nucleic acid metabolism	DNA polymerase
Sodium/hydrogen exchanger family protein	Auxilliary metabolic genes	Sodium/hydrogen exchanger family protein
single stranded DNA-binding protein	Replication and nucleic acid metabolism	Single stranded DNA-binding protein
serine/threonine kinase	Auxilliary metabolic genes	Serine/threonine kinase
exonuclease	Replication and nucleic acid metabolism	Exonuclease
transposase	DNA-binding and transcription regulators	Transposase
thymidylate synthase	DNA-binding and transcription regulators	Thymidylate synthase
dCMP deaminase	DNA-binding and transcription regulators	dCMP deaminase
SPFH/Band 7/PHB domain protein	Membrane-spanning proteins	SPFH/Band 7/PHB domain protein
putative DHH phosphoesterase protein	Replication and nucleic acid metabolism	DHH phosphoesterase
Multifunctional CCA protein	Replication and nucleic acid metabolism	Multifunctional CCA protein
putative Fe-S oxidoreductase	Auxilliary metabolic genes	Fe-S oxidoreductase
Tellurium resistance protein TerC	Regulate membrane-spanning proteins	Tellurium resistance protein TerC
nicotinamide phosphoribosyltransferase	Auxilliary metabolic genes	Nicotinamide phosphoribosyltransferase
Ser/Thr phosphatase family protein	Auxilliary metabolic genes	Serine/threonine phosphatase family protein
protector from prophage-induced early lysis	Lysis	Protector from prophage-induced early lysis
RNA ligase	Replication and nucleic acid metabolism	RNA ligase
putative TROVE-like domain protein	Replication and nucleic acid metabolism	TROVE-like domain protein
dihydrofolate reductase	Auxilliary metabolic genes	Dihydrofolate reductase
ribonucleotide reductase subunit B	Replication and nucleic acid metabolism	Ribonucleotide reductase subunit
DarB	Structural proteins	Capsid protein
ribonucleotide reductase	Replication and nucleic acid metabolism	Ribonucleotide reductase
DNA ligase	Replication and nucleic acid metabolism	DNA ligase
nudix hydrolase	Replication and nucleic acid metabolism	Nudix hydrolase
FtsK/SpoIIIE protein	Regulate membrane-spanning proteins	FtsK/SpoIIIE ATPase
AAA ATPase	DNA-binding and transcription regulators	AAA ATPase
putative peptidase M23	Lysis	Peptidase M23
DNA delivery	Packaging and assembly	Transglycosylase/DNA entry
DNA double-strand break repair Rad50 ATPase	Replication and nucleic acid metabolism	DNA double-strand break repair Rad50 ATPase
serine/threonine protein phosphatase	Auxilliary metabolic genes	Serine/threonine phosphatase family protein
Rec A-like recombinase	DNA-binding and transcription regulators	Rec A-like recombinase
