DATASET_COLORSTRIP
#In colored strip datasets, each ID is associated to a color box/strip and can have an optional label. Color can be specified in hexadecimal, RGB or RGBA notation. When using RGB or RGBA notation, you cannot use COMMA as the dataset separator

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

SEPARATOR TAB
#SEPARATOR COMMA
#SEPARATOR SPACE

#label is used in the legend table (can be changed later)
DATASET_LABEL	environment

#dataset color (can be changed later)
COLOR	#ff0000

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#If COLOR_BRANCHES is set to 1, branches of the tree will be colored according to the colors of the strips above the leaves.
#When all children of a node have the same color, it will be colored the same, ie. the color will propagate inwards towards the root.
COLOR_BRANCHES	0

#each dataset can have a legend, which is defined below
#for each row in the legend, there should be one shape, color and label
#shape should be a number between 1 and 6:
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark

#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#width of the colored strip
#STRIP_WIDTH 25

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
#MARGIN 0

#border width; if set above 0, a border of specified width (in pixels) will be drawn around the color strip 
#BORDER_WIDTH 0

#border color; used when BORDER_WIDTH is above 0
#BORDER_COLOR #0000ff

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL 0


#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
LEGEND_SHAPES	1	1	1	1	1	1
LEGEND_COLORS	#FFFFB3	#B3DE69	#80B1D3	#BEBADA	#FB8072	#8DD3C7
LEGEND_LABELS	Bacteroidetes	Cardiobacterium	Cyanobacteria	Firmicutes	Microgenomates	Proteobacteria
DATA
GWF2_PHAGE_CIR_41_11_1	#8DD3C7
R2_PHAGE_46_52_1	#8DD3C7
F-24_PHAGE_27_21_1	#8DD3C7
ALT_PHAGE_CIR_40_13_1	#8DD3C7
BML_PHAGE_45_11_1	#8DD3C7
SALIVA_PHAGE_CIR_35_33_1	#8DD3C7
FFC_PHAGE_CIR_38_15_1	#8DD3C7
SR-VP_PHAGE_CIR_49_18_1	#8DD3C7
SR-VP_PHAGE_30_18_1	#FFFFB3
LP_PHAGE_29_14_1	#FFFFB3
BML_PHAGE_CIR_30_13_1	#FFFFB3
R2_PHAGE_47_28_1	#8DD3C7
SR-VP_PHAGE_54_15_1	#8DD3C7
A4_PHAGE_COMPLETE_CIR-CU-CL_34_1_1	#FFFFB3
ERM_PHAGE_CIR_34_117_1	#FFFFB3
R2_PHAGE_CIR_50_38_1	#8DD3C7
FFC_PHAGE_43_1208_1	#8DD3C7
LP_PHAGE_46_12_1	#8DD3C7
TARA_PHAGE_44_1_1	#8DD3C7
SR-VP_PHAGE_50_14_1	#8DD3C7
R2_PHAGE_CIR_48_113_1	#8DD3C7
LP_PHAGE_40_9_1	#FFFFB3
PIG_PHAGE_CU_31_44_1	#BEBADA
BML_PHAGE_48_21_1	#8DD3C7
PIG_PHAGE_COMPLETE_CIR-CU-CL_31_57_1	#BEBADA
RTP_PHAGE_33_21_1	#FFFFB3
RTP_PHAGE_33_21_2	#FFFFB3
RIF_PHAGE_CIR_29_13_1	#FB8072
F31_PHAGE_CIR_26_47_1	#BEBADA
PIG_PHAGE_CU_27_27_1	#BEBADA
SHALE-W_PHAGE_25_0_1	#FFFFB3
BML_PHAGE_29_17_1	#FFFFB3
BML_PHAGE_CIR_42_5_1	#8DD3C7
SCN_PHAGE_41_19_1	#8DD3C7
SCN_PHAGE_41_19_2	#8DD3C7
BML_PHAGE_COMPLETE_CIR-CU-CL_30_21_1	#FFFFB3
R2_PHAGE_CIR_46_32_1	#8DD3C7
FFC_PHAGE_44_113_1	#8DD3C7
LP_PHAGE_38_12_1	#8DD3C7
PIG_PHAGE_CU_27_28_1	#BEBADA
A3_PHAGE_COMPLETE_CIR-CU-CL_34_1_1	#FFFFB3
OS_PHAGE_40_40_1	#8DD3C7
LP_PHAGE_38_17_1	#8DD3C7
ALT_PHAGE_40_9_1	#FFFFB3
SCN_PHAGE_32_18_1	#8DD3C7
GM_PHAGE_38_38_1	#8DD3C7
LP_PHAGE_31_18_1	#FFFFB3
S9_PHAGE_34_1_1	#FFFFB3
GWC1_PHAGE_CIR_34_18_1	#FB8072
FFC_PHAGE_CIR_42_59_1	#8DD3C7
BML_PHAGE_34_18_1	#FFFFB3
BML_PHAGE_34_18_2	#FFFFB3
SR-VP_PHAGE_COMPLETE_CIR-CU-CL_42_23_1	#8DD3C7
SW-7_PHAGE_46_16_1	#8DD3C7
LP_PHAGE_30_17_1	#FFFFB3
FFSP_PHAGE_34_11_1	#8DD3C7
R2_PHAGE_CIR_43_124_1	#8DD3C7
SHALE-W_PHAGE_CIR_53_0_1	#8DD3C7
ALT_PHAGE_24_16_1	#FFFFB3
BML_PHAGE_CIR_40_15_B_1	#8DD3C7
RIF_PHAGE_CU_29_17_1	#FFFFB3
ER_PHAGE_49_14_1	#8DD3C7
SR-VP_PHAGE_48_23_A_1	#8DD3C7
LP_PHAGE_CIR_34_34_1	#8DD3C7
NC_028999.1_1	#8DD3C7
NC_019526.1_1	#8DD3C7
NC_023568.1_1	#8DD3C7
NC_031245.1_1	#BEBADA
NC_042116.1_1	#8DD3C7
NC_041884.1_1	#8DD3C7
NC_019929.1_1	#8DD3C7
NC_023557.1_1	#8DD3C7
NC_005260.1_1	#8DD3C7
NC_028829.1_1	#8DD3C7
NC_019406.1_1	#8DD3C7
NC_010821.1_1	#8DD3C7
NC_005083.2_1	#8DD3C7
NC_020851.1_1	#80B1D3
NC_041994.1_1	#8DD3C7
NC_019411.1_1	#8DD3C7
NC_019410.1_1	#8DD3C7
NC_019408.1_1	#8DD3C7
NC_019405.1_1	#8DD3C7
NC_042013.1_1	#8DD3C7
NC_031927.1_1	#80B1D3
NC_027364.1_1	#8DD3C7
NC_021531.1_1	#8DD3C7
NC_042056.1_1	#8DD3C7
NC_042098.1_1	#8DD3C7
NC_041974.1_1	#8DD3C7
NC_041973.1_1	#8DD3C7
NC_041972.1_1	#8DD3C7
NC_027402.1_1	#8DD3C7
NC_016571.1_1	#8DD3C7
NC_031010.1_1	#8DD3C7
NC_031007.1_1	#8DD3C7
NC_031107.2_1	#8DD3C7
NC_031120.1_1	#8DD3C7
NC_031043.1_1	#8DD3C7
NC_031126.1_1	#8DD3C7
NC_043027.1_1	#BEBADA
Ga0247723_1000001_88	#FFFFFF
Ga0257110_1000001_93	#FFFFFF
SRS022530_LANL_scaffold_32610_168	#FFFFFF
SRS022530_LANL_scaffold_51249_70	#FFFFFF
SRS022536_LANL_scaffold_58447_94	#FFFFFF
SRS022602_Baylor_scaffold_95585_250	#FFFFFF
SRS022083_Baylor_scaffold_19610_94	#FFFFFF
SRS057791_LANL_scaffold_921_215	#FFFFFF
SRS063193_LANL_scaffold_29753_21	#FFFFFF
SRS051791_LANL_scaffold_23448_98	#FFFFFF
SRS015440_WUGC_scaffold_42298_198	#FFFFFF
SRS053603_LANL_scaffold_3079_60	#FFFFFF
SRS016039_WUGC_scaffold_7258_66	#FFFFFF
SRS016225_WUGC_scaffold_2185_126	#FFFFFF
SRS016225_WUGC_scaffold_2185_127	#FFFFFF
SRS016746_Baylor_scaffold_37475_66	#FFFFFF
SRS022149_LANL_scaffold_20404_32	#FFFFFF
SRS044662_LANL_scaffold_46740_149	#FFFFFF
ERR589366_NODE_2_length_252267_cov_5.86855_154	#FFFFFF
