yourlist:M201909045C475328CEF75220C360D524E9D456CE3FF4D7X	Entry	Entry name	Protein names	Gene names	Organism	Taxonomic lineage (ORDER)
WP_070505512.1	A0A1E9ZGK1	A0A1E9ZGK1_9MICC	Uncharacterized protein	HMPREF2527_00515	Rothia sp. HMSC071B01	Micrococcales
WP_044769372.1	A0A0Z8D1V9	A0A0Z8D1V9_STRSU	Uncharacterized protein	ERS132372_01428	Streptococcus suis	Lactobacillales
WP_003746305.1	E5UI79	E5UI79_NEIMU	Uncharacterized protein	HMPREF0604_00424	Neisseria mucosa C102	Neisseriales
WP_069483468.1	A0A1E4QYD8	A0A1E4QYD8_9BACI	Uncharacterized protein	BG258_23250	Lysinibacillus fusiformis	Bacillales
WP_069483467.1	A0A1E4QYE2	A0A1E4QYE2_9BACI	Uncharacterized protein	BG258_23245	Lysinibacillus fusiformis	Bacillales
WP_004693131.1	D1YMD9	D1YMD9_9FIRM	Pectate_lyase_3 domain-containing protein	HMPREF1035_1397	Veillonella parvula ATCC 17745	Veillonellales
WP_006555437.1	K9DMY3	K9DMY3_9FIRM	Uncharacterized protein	HMPREF9282_00537	Veillonella seminalis ACS-216-V-Col6b	Veillonellales
YP_009283009.1	A0A172JI16	A0A172JI16_9CAUD	DNA-directed RNA polymerase beta subunit	AR9_g105	Bacillus phage AR9	Caudovirales
YP_009282957.1	A0A172JHW0	A0A172JHW0_9CAUD	Uncharacterized protein	AR9_g052	Bacillus phage AR9	Caudovirales
WP_070439628.1	A0A1F2HAI3	A0A1F2HAI3_9STRE	Uncharacterized protein	HMPREF3112_09830	Streptococcus sp. HMSC10E12	Lactobacillales
WP_000948450.1	A0A0B5NPB7	A0A0B5NPB7_BACTU	Uncharacterized protein	BF38_5862 FBF59_30955	Bacillus thuringiensis	Bacillales
WP_000948450.1	A0A0Q9G981	A0A0Q9G981_9BACI	Uncharacterized protein	ASE54_16775	Bacillus sp. Root131	Bacillales
WP_000948450.1	A0A169DUU7	A0A169DUU7_BACTI	Uncharacterized protein	ATN07_30060	Bacillus thuringiensis subsp. israelensis	Bacillales
WP_000948450.1	A0A242YL81	A0A242YL81_BACTU	Uncharacterized protein	BK719_00890	Bacillus thuringiensis serovar novosibirsk	Bacillales
WP_000948450.1	A0A369D2G5	A0A369D2G5_9BACI	Uncharacterized protein	DEU45_105295	Bacillus sp. AG102	Bacillales
WP_000948450.1	C3GSU3	C3GSU3_BACTU	Uncharacterized protein	bthur0010_53570	Bacillus thuringiensis serovar pondicheriensis BGSC 4BA1	Bacillales
WP_000398635.1	A0A0B5NPE3	A0A0B5NPE3_BACTU	Uncharacterized protein	BF38_5875 FBF59_30890	Bacillus thuringiensis	Bacillales
WP_000398635.1	A0A0Q9GDM5	A0A0Q9GDM5_9BACI	Uncharacterized protein	ASE54_16710	Bacillus sp. Root131	Bacillales
WP_000398635.1	A0A160LJJ6	A0A160LJJ6_BACTI	Uncharacterized protein	ATN07_32165	Bacillus thuringiensis subsp. israelensis	Bacillales
WP_000398635.1	A0A242YJW3	A0A242YJW3_BACTU	Uncharacterized protein	BK719_00825	Bacillus thuringiensis serovar novosibirsk	Bacillales
WP_000398635.1	A0A369CYR2	A0A369CYR2_9BACI	LexA-binding, inner membrane-associated putative hydrolase	DEU45_105308	Bacillus sp. AG102	Bacillales
WP_000398635.1	C3GTR4	C3GTR4_BACTU	Uncharacterized protein	bthur0010_56900	Bacillus thuringiensis serovar pondicheriensis BGSC 4BA1	Bacillales
WP_003254650.1	A0A0Q9GC22	A0A0Q9GC22_9BACI	Uncharacterized protein	ASE54_16725	Bacillus sp. Root131	Bacillales
WP_003254650.1	A0A161IS14	A0A161IS14_BACTI	Uncharacterized protein	ATN07_32180	Bacillus thuringiensis subsp. israelensis	Bacillales
WP_003254650.1	A0A242YNF9	A0A242YNF9_BACTU	Uncharacterized protein	BK719_00840	Bacillus thuringiensis serovar novosibirsk	Bacillales
