UViG ID,Genome Name,Scaffold ID,Lineage,Viral OTUs,Percent VPF,Seq Length,Ecosystem,Ecosystem Category,Ecosystem Type,Ecosystem Subtype
3300028029_____Ga0256845_1000001,"Tube worm associated microbial communities from hydrothermal vent at the East Pacific Rise, Pacific Ocean - Riftia",Ga0256845_1000001,Viruses; unclassified; unclassified; unclassified; unclassified; unclassified; sg_272432,sg_272432,0.21,409147,Host-associated,Annelida,Integument,Unclassified
3300028197_____Ga0257110_1000001,"Marine microbial communities from Northeast Subartic Pacific Ocean, Canada - LP_J_2015_P26_10m",Ga0257110_1000001,Viruses; unclassified; unclassified; unclassified; unclassified; unclassified; vc_10366,vc_10366,0.19,372493,Environmental,Aquatic,Marine,Oceanic
7000000713_____SRS024355_LANL_scaffold_13424,"Human supragingival plaque microbial communities from NIH, USA - visit 2, subject 159551223",SRS024355_LANL_scaffold_13424,Viruses; unclassified; unclassified; unclassified; unclassified; unclassified; vc_6114,vc_6114,0,318555,Host-associated,Human,Digestive system,Oral
7000000144_____SRS045715_LANL_scaffold_18620,"Human tongue dorsum microbial communities from NIH, USA - visit 2, subject 246515023",SRS045715_LANL_scaffold_18620,Viruses; unclassified; unclassified; unclassified; unclassified; unclassified; vc_8884,vc_8884,0.81,324468,Host-associated,Human,Digestive system,Oral
7000000700_____SRS011310_Baylor_scaffold_4600,"Human buccal mucosa microbial communities from NIH, USA - visit 1, subject 158944319",SRS011310_Baylor_scaffold_4600,Viruses; unclassified; unclassified; unclassified; unclassified; unclassified; vc_2399,vc_2399,0.8,277534,Host-associated,Human,Digestive system,Oral
7000000345_____SRS015921_WUGC_scaffold_8890,"Human buccal mucosa microbial communities from NIH, USA - visit 1, subject 764305738 replicate 2",SRS015921_WUGC_scaffold_8890,Viruses; unclassified; unclassified; unclassified; unclassified; unclassified; vc_6202,vc_6202,0,287926,Host-associated,Human,Digestive system,Oral
7000000354_____SRS015985_WUGC_scaffold_1456,"Human buccal mucosa microbial communities from NIH, USA - visit 1, subject 764447348",SRS015985_WUGC_scaffold_1456,Viruses; unclassified; unclassified; unclassified; unclassified; unclassified; vc_1149,vc_1149,0.78,286016,Host-associated,Human,Digestive system,Oral
7000000505_____SRS016039_WUGC_scaffold_7258,"Human buccal mucosa microbial communities from NIH, USA - visit 1, subject 764508039",SRS016039_WUGC_scaffold_7258,Viruses; unclassified; unclassified; Caudovirales; Myoviridae; unclassified; vc_19167,vc_19167,0.64,278729,Host-associated,Human,Digestive system,Oral
7000000016_____SRS023538_Baylor_scaffold_1482,"Human supragingival plaque microbial communities from NIH, USA - visit 2 of subject 158802708",SRS023538_Baylor_scaffold_1482,Viruses; unclassified; unclassified; unclassified; unclassified; unclassified; vc_107920,vc_107920,0,273352,Host-associated,Human,Digestive system,Oral
7000000353_____SRS022083_Baylor_scaffold_19610,"Human supragingival plaque microbial communities from NIH, USA - visit 2, subject 158337416",SRS022083_Baylor_scaffold_19610,Viruses; unclassified; unclassified; Caudovirales; Myoviridae; unclassified; vc_639,vc_639,0.75,256873,Host-associated,Human,Digestive system,Oral
7000000228_____SRS022602_Baylor_scaffold_95585,"Human supragingival plaque microbial communities from NIH, USA - visit 2, subject 158499257",SRS022602_Baylor_scaffold_95585,Viruses; unclassified; unclassified; Caudovirales; Myoviridae; unclassified; sg_292261,sg_292261,0.54,268303,Host-associated,Human,Digestive system,Oral
7000000001_____SRS022530_LANL_scaffold_56387,"Human tongue dorsum microbial communities from NIH, USA - visit 1, subject 809635352",SRS022530_LANL_scaffold_56387,Viruses; unclassified; unclassified; unclassified; unclassified; unclassified; vc_25,vc_25,0.75,276838,Host-associated,Human,Digestive system,Oral
7000000203_____SRS024441_LANL_scaffold_6722,"Human tongue dorsum microbial communities from NIH, USA - visit 2, subject 159571453",SRS024441_LANL_scaffold_6722,Viruses; unclassified; unclassified; unclassified; unclassified; unclassified; vc_43492,vc_43492,0,259024,Host-associated,Human,Digestive system,Oral
7000000554_____SRS058336_LANL_scaffold_11175,"Human tongue dorsum microbial communities from NIH, USA - visit 2, subject 764447348",SRS058336_LANL_scaffold_11175,Viruses; unclassified; unclassified; unclassified; unclassified; unclassified; vc_7570,vc_7570,0,272773,Host-associated,Human,Digestive system,Oral
7000000442_____SRS051791_LANL_scaffold_36605,"Human tongue dorsum microbial communities from NIH, USA - visit 2, subject 765094712",SRS051791_LANL_scaffold_36605,Viruses; unclassified; unclassified; unclassified; unclassified; unclassified; vc_4327,vc_4327,0.78,294486,Host-associated,Human,Digestive system,Oral
3300028029_____Ga0256845_1000002,"Tube worm associated microbial communities from hydrothermal vent at the East Pacific Rise, Pacific Ocean - Riftia",Ga0256845_1000002,Viruses; unclassified; unclassified; unclassified; unclassified; unclassified; sg_272433,sg_272433,0.16,266228,Host-associated,Annelida,Integument,Unclassified
7000000558_____SRS019125_WUGC_scaffold_10215,"Human attached/keratinized gingiva microbial communities from NIH, USA - visit 2, subject 763496533",SRS019125_WUGC_scaffold_10215,Viruses; unclassified; unclassified; unclassified; unclassified; unclassified; vc_2499,vc_2499,0.78,213917,Host-associated,Human,Digestive system,Oral
7000000505_____SRS016039_WUGC_scaffold_2746,"Human buccal mucosa microbial communities from NIH, USA - visit 1, subject 764508039",SRS016039_WUGC_scaffold_2746,Viruses; unclassified; unclassified; unclassified; unclassified; unclassified; vc_8,vc_8,0.86,241338,Host-associated,Human,Digestive system,Oral
7000000323_____SRS046686_LANL_scaffold_6514,"Human buccal mucosa microbial communities from NIH, USA - visit 2, subject 159490532",SRS046686_LANL_scaffold_6514,Viruses; unclassified; unclassified; unclassified; unclassified; unclassified; vc_86720,vc_86720,0.8,206454,Host-associated,Human,Digestive system,Oral
7000000007_____SRS017139_Baylor_scaffold_10947,"Human supragingival plaque microbial communities from NIH, USA - visit 1, subject 159551223",SRS017139_Baylor_scaffold_10947,Viruses; unclassified; unclassified; unclassified; unclassified; unclassified; sg_290975,sg_290975,0,215716,Host-associated,Human,Digestive system,Oral
7000000650_____SRS016746_Baylor_scaffold_37475,"Human supragingival plaque microbial communities from NIH, USA - visit 1, subject 160421117",SRS016746_Baylor_scaffold_37475,Viruses; unclassified; unclassified; Caudovirales; Myoviridae; unclassified; vc_7184,vc_7184,0.67,202213,Host-associated,Human,Digestive system,Oral
7000000313_____SRS058053_LANL_scaffold_7384,"Human supragingival plaque microbial communities from NIH, USA - visit 1, subject 604812005",SRS058053_LANL_scaffold_7384,Viruses; unclassified; unclassified; unclassified; unclassified; unclassified; sg_292738,sg_292738,0,223283,Host-associated,Human,Digestive system,Oral
7000000667_____SRS022149_LANL_scaffold_20404,"Human supragingival plaque microbial communities from NIH, USA - visit 1, subject 638754422",SRS022149_LANL_scaffold_20404,Viruses; unclassified; unclassified; Caudovirales; Myoviridae; unclassified; sg_294853,sg_294853,0.81,236788,Host-associated,Human,Digestive system,Oral
