"name" "size" "coverage" "circular" "gc_content" "hit_to_vir_refseq" "hit_to_crasslike" "demovir" "vir_refseq" "crasslike" "ribo_prot_count" "pvogs_count" "integrase" "sample" "country" "vcontact_cluster" "crispr_host"
"4" "ERR589358_NODE_21_length_272451_cov_7.53123" 272451 7.53123 FALSE 59.37 FALSE FALSE "Myoviridae" NA NA 1 52 FALSE "ERR589358" NA "VC_6935_5" "Actinomyces"
"5" "ERR589366_NODE_2_length_252267_cov_5.86855" 252267 5.86855 FALSE 37.21 FALSE FALSE "Myoviridae" NA NA 0 94 FALSE "ERR589366" NA "VC_1419_6" NA
"6" "ERR589368_NODE_8_length_248669_cov_11.6464" 248669 11.6464 FALSE 41.5 FALSE FALSE "Unassigned" NA NA 1 64 FALSE "ERR589368" NA "VC_6375_0" "Propionibacterium"
"7" "ERR589374_NODE_1_length_250771_cov_7.48575" 250771 7.48575 TRUE 39.7 FALSE FALSE "Myoviridae" NA NA 0 85 FALSE "ERR589374" NA NA NA
"8" "ERR589375_NODE_6_length_313876_cov_8.79121" 313876 8.79121 FALSE 55.49 FALSE FALSE "Myoviridae" NA NA 1 60 FALSE "ERR589375" NA NA "Actinomyces"
"9" "ERR589382_NODE_7_length_242330_cov_4.50236" 242330 4.50236 FALSE 29.11 FALSE FALSE "Myoviridae" NA NA 0 75 TRUE "ERR589382" NA NA NA
"10" "ERR589382_NODE_10_length_205933_cov_3.86547" 205933 3.86547 FALSE 38.22 FALSE FALSE "Siphoviridae" NA NA 0 35 FALSE "ERR589382" NA "" NA
"13" "ERR589386_NODE_2_length_270926_cov_4.48054" 270926 4.48054 FALSE 34.48 FALSE FALSE "Siphoviridae" NA NA 0 70 TRUE "ERR589386" NA "" NA
"14" "ERR589386_NODE_3_length_247840_cov_12.22" 247840 12.22 TRUE 34.99 FALSE FALSE "Myoviridae" NA NA 0 99 FALSE "ERR589386" NA "VC_1419_0" NA
"15" "ERR589388_NODE_2_length_264863_cov_103.332" 264863 103.332 FALSE 60.1 FALSE FALSE "Siphoviridae" NA NA 1 64 FALSE "ERR589388" NA NA "Atopobium"
"17" "ERR589390_NODE_5_length_254595_cov_11.1926" 254595 11.1926 TRUE 34.9 FALSE FALSE "Myoviridae" NA NA 0 99 FALSE "ERR589390" NA "VC_1419_0" NA
"18" "ERR589392_NODE_1_length_245215_cov_40.5755" 245215 40.5755 FALSE 36.93 FALSE FALSE "Myoviridae" NA NA 0 50 TRUE "ERR589392" NA NA "Streptococcus"
"19" "ERR589400_NODE_2_length_222094_cov_17.9067" 222094 17.9067 FALSE 33.72 FALSE FALSE "Myoviridae" NA NA 0 78 FALSE "ERR589400" NA "VC_3541_1" NA
"20" "ERR589402_NODE_3_length_227434_cov_16.57" 227434 16.57 FALSE 32.94 FALSE FALSE "Siphoviridae" NA NA 0 30 FALSE "ERR589402" NA "VC_3157_5" "Streptococcus"
"21" "ERR589402_NODE_4_length_224752_cov_15.4809" 224752 15.4809 FALSE 26.42 FALSE FALSE "Myoviridae" NA NA 0 39 FALSE "ERR589402" NA NA NA
"22" "ERR589406_NODE_1_length_277817_cov_15.1368" 277817 15.1368 FALSE 59.41 FALSE FALSE "Myoviridae" NA NA 1 50 FALSE "ERR589406" NA "VC_6935_5" "Atopobium"
"23" "ERR589416_NODE_3_length_266654_cov_11.279" 266654 11.279 FALSE 33.48 FALSE FALSE "Myoviridae" NA NA 0 44 FALSE "ERR589416" NA "VC_4224_3" "Veillonella"
