"name" "size" "coverage" "circular" "gc_content" "hit_to_vir_refseq" "hit_to_crasslike" "demovir" "vir_refseq" "crasslike" "ribo_prot_count" "pvogs_count" "integrase" "vcontact_cluster" "sample" "country" "crispr_host" "sample_cluster"
"ERR589621_NODE_9_length_227105_cov_8.538" "ERR589621_NODE_9_length_227105_cov_8.538" 227105 8.538 TRUE 39.16 FALSE FALSE "Myoviridae" NA NA 0 82 FALSE "c80" "ERR589621" "China" NA "4"
"SRS011140_NODE_15_length_228010_cov_44.6028" "SRS011140_NODE_15_length_228010_cov_44.6028" 228010 44.6028 TRUE 39.19 FALSE FALSE "Myoviridae" NA NA 0 82 FALSE "c80" "SRS011140" "US" NA "2"
"SRS015436_NODE_1_length_228442_cov_25.5018" "SRS015436_NODE_1_length_228442_cov_25.5018" 228442 25.5018 TRUE 39.01 FALSE FALSE "Myoviridae" NA NA 0 82 FALSE "c80" "SRS015436" "US" NA "3"
"SRS015440_NODE_6_length_228445_cov_93.5082" "SRS015440_NODE_6_length_228445_cov_93.5082" 228445 93.5082 TRUE 39.01 FALSE FALSE "Myoviridae" NA NA 0 82 FALSE "c80" "SRS015440" "US" NA "5"
"SRS015470_NODE_4_length_228444_cov_88.2011" "SRS015470_NODE_4_length_228444_cov_88.2011" 228444 88.2011 TRUE 39.01 FALSE FALSE "Myoviridae" NA NA 0 82 FALSE "c80" "SRS015470" "US" NA NA
"SRS015646_NODE_1_length_220432_cov_27.2438" "SRS015646_NODE_1_length_220432_cov_27.2438" 220432 27.2438 TRUE 39.63 FALSE FALSE "Myoviridae" NA NA 0 80 FALSE "c80" "SRS015646" "US" NA "3"
"SRS016002_NODE_10_length_225008_cov_10.3289" "SRS016002_NODE_10_length_225008_cov_10.3289" 225008 10.3289 TRUE 39.11 FALSE FALSE "Myoviridae" NA NA 0 85 FALSE "c80" "SRS016002" "US" NA "2"
"SRS018337_NODE_5_length_227716_cov_18.7174" "SRS018337_NODE_5_length_227716_cov_18.7174" 227716 18.7174 TRUE 39 FALSE FALSE "Myoviridae" NA NA 0 81 FALSE "c80" "SRS018337" "US" NA "4"
"SRS020856_NODE_8_length_227958_cov_7.82357" "SRS020856_NODE_8_length_227958_cov_7.82357" 227958 7.82357 TRUE 39.1 FALSE FALSE "Myoviridae" NA NA 0 84 FALSE "c80" "SRS020856" "US" NA "2"
"SRS045262_NODE_1_length_211049_cov_23.9758" "SRS045262_NODE_1_length_211049_cov_23.9758" 211049 23.9758 TRUE 39.66 FALSE FALSE "Myoviridae" NA NA 0 82 FALSE "c80" "SRS045262" "US" NA "3"
"SRS047590_NODE_10_length_227714_cov_9.36474" "SRS047590_NODE_10_length_227714_cov_9.36474" 227714 9.36474 TRUE 39 FALSE FALSE "Myoviridae" NA NA 0 81 FALSE "c80" "SRS047590" "US" NA NA
"SRS078671_NODE_1_length_228149_cov_39.5138" "SRS078671_NODE_1_length_228149_cov_39.5138" 228149 39.5138 TRUE 39.09 FALSE FALSE "Myoviridae" NA NA 0 82 FALSE "c80" "SRS078671" "US" NA NA
"SRS098867_NODE_11_length_229051_cov_63.7156" "SRS098867_NODE_11_length_229051_cov_63.7156" 229051 63.7156 TRUE 39.09 FALSE FALSE "Myoviridae" NA NA 0 82 FALSE "c80" "SRS098867" "US" NA NA
"ERR589420_NODE_11_length_203503_cov_92.1356" "ERR589420_NODE_11_length_203503_cov_92.1356" 203503 92.1356 TRUE 31.51 FALSE FALSE "Myoviridae" NA NA 0 66 FALSE "c112" "ERR589420" "China" NA "4"
"SRS013879_NODE_11_length_207354_cov_10.9341" "SRS013879_NODE_11_length_207354_cov_10.9341" 207354 10.9341 TRUE 31.57 FALSE FALSE "Myoviridae" NA NA 0 66 FALSE "c112" "SRS013879" "US" NA "2"
"SRS013947_NODE_6_length_208248_cov_14.0653" "SRS013947_NODE_6_length_208248_cov_14.0653" 208248 14.0653 TRUE 31.48 FALSE FALSE "Myoviridae" NA NA 0 73 FALSE "c112" "SRS013947" "US" NA "3"
"SRS015745_NODE_3_length_214576_cov_9.12203" "SRS015745_NODE_3_length_214576_cov_9.12203" 214576 9.12203 TRUE 31.21 FALSE FALSE "Myoviridae" NA NA 0 69 FALSE "c112" "SRS015745" "US" NA "3"
"SRS054776_NODE_1_length_213596_cov_8.08699" "SRS054776_NODE_1_length_213596_cov_8.08699" 213596 8.08699 TRUE 31.17 FALSE FALSE "Myoviridae" NA NA 0 69 FALSE "c112" "SRS054776" "US" NA NA
"ERR1474586_NODE_1_length_213659_cov_10.4734" "ERR1474586_NODE_1_length_213659_cov_10.4734" 213659 10.4734 FALSE 36.61 FALSE FALSE "Myoviridae" NA NA 0 43 TRUE "c93" "ERR1474586" "Philippines" "Streptococcus" "4"
"ERR589392_NODE_1_length_245215_cov_40.5755" "ERR589392_NODE_1_length_245215_cov_40.5755" 245215 40.5755 FALSE 36.93 FALSE FALSE "Myoviridae" NA NA 0 50 TRUE "c93" "ERR589392" "China" "Streptococcus" "1"
"ERR589436_NODE_4_length_223947_cov_7.56151" "ERR589436_NODE_4_length_223947_cov_7.56151" 223947 7.56151 FALSE 33.44 FALSE FALSE "Siphoviridae" NA NA 0 34 FALSE "c645" "ERR589436" "China" NA "1"
"ERR589460_NODE_10_length_250578_cov_12.1743" "ERR589460_NODE_10_length_250578_cov_12.1743" 250578 12.1743 FALSE 36.89 FALSE FALSE "Myoviridae" NA NA 0 50 TRUE "c93" "ERR589460" "China" "Streptococcus" "5"
"ERR589476_NODE_17_length_249786_cov_9.20983" "ERR589476_NODE_17_length_249786_cov_9.20983" 249786 9.20983 TRUE 36.67 FALSE FALSE "Myoviridae" NA NA 0 58 TRUE "c93" "ERR589476" "China" "Streptococcus" "4"
"ERR589659_NODE_14_length_225617_cov_51.1695" "ERR589659_NODE_14_length_225617_cov_51.1695" 225617 51.1695 TRUE 34.06 FALSE FALSE "Siphoviridae" NA NA 0 34 FALSE "c645" "ERR589659" "China" NA "1"
"SRS011310_NODE_1_length_277651_cov_20.1606" "SRS011310_NODE_1_length_277651_cov_20.1606" 277651 20.1606 FALSE 37.04 FALSE FALSE "Siphoviridae" NA NA 0 49 TRUE "c93" "SRS011310" "US" "Streptococcus" "3"
"SRS013234_NODE_1_length_222243_cov_7.50393" "SRS013234_NODE_1_length_222243_cov_7.50393" 222243 7.50393 FALSE 35.12 FALSE FALSE "Myoviridae" NA NA 0 46 TRUE "c93" "SRS013234" "US" NA "2"
"SRS014472_NODE_1_length_269006_cov_22.5143" "SRS014472_NODE_1_length_269006_cov_22.5143" 269006 22.5143 TRUE 36.28 FALSE FALSE "Myoviridae" NA NA 0 53 TRUE "c93" "SRS014472" "US" NA "3"
"SRS015799_NODE_1_length_269339_cov_10.7346" "SRS015799_NODE_1_length_269339_cov_10.7346" 269339 10.7346 FALSE 36.44 FALSE FALSE "Unassigned" NA NA 0 50 FALSE "c93" "SRS015799" "US" NA NA
"SRS015947_NODE_4_length_250111_cov_19.2174" "SRS015947_NODE_4_length_250111_cov_19.2174" 250111 19.2174 TRUE 36.88 FALSE FALSE "Myoviridae" NA NA 0 49 TRUE "c93" "SRS015947" "US" "Streptococcus" "5"
"SRS015989_NODE_12_length_285916_cov_10.9882" "SRS015989_NODE_12_length_285916_cov_10.9882" 285916 10.9882 FALSE 37.1 FALSE FALSE "Siphoviridae" NA NA 0 54 FALSE "c93" "SRS015989" "US" "Streptococcus" "5"
"SRS016225_NODE_9_length_223122_cov_7.93071" "SRS016225_NODE_9_length_223122_cov_7.93071" 223122 7.93071 TRUE 34.09 FALSE FALSE "Siphoviridae" NA NA 0 42 TRUE "c645" "SRS016225" "US" NA "2"
"SRS016569_NODE_5_length_252662_cov_21.4152" "SRS016569_NODE_5_length_252662_cov_21.4152" 252662 21.4152 FALSE 35.03 FALSE FALSE "Myoviridae" NA NA 0 47 TRUE "c93" "SRS016569" "US" NA "2"
"SRS017533_NODE_5_length_232397_cov_32.0553" "SRS017533_NODE_5_length_232397_cov_32.0553" 232397 32.0553 FALSE 34.15 FALSE FALSE "Myoviridae" NA NA 0 46 TRUE "c645" "SRS017533" "US" NA "2"
"SRS017691_NODE_7_length_239121_cov_10.7408" "SRS017691_NODE_7_length_239121_cov_10.7408" 239121 10.7408 FALSE 36.83 FALSE FALSE "Myoviridae" NA NA 0 50 TRUE "c93" "SRS017691" "US" "Streptococcus" "5"
"SRS018573_NODE_4_length_244172_cov_96.2566" "SRS018573_NODE_4_length_244172_cov_96.2566" 244172 96.2566 FALSE 36.87 FALSE FALSE "Myoviridae" NA NA 0 52 TRUE "c93" "SRS018573" "US" "Streptococcus" "5"
"SRS022530_NODE_13_length_234403_cov_14.7428" "SRS022530_NODE_13_length_234403_cov_14.7428" 234403 14.7428 FALSE 33.9 FALSE FALSE "Unassigned" NA NA 0 41 TRUE "c645" "SRS022530" "US" NA "2"
"SRS045197_NODE_8_length_238845_cov_13.2761" "SRS045197_NODE_8_length_238845_cov_13.2761" 238845 13.2761 TRUE 36.88 FALSE FALSE "Myoviridae" NA NA 0 53 TRUE "c93" "SRS045197" "US" "Streptococcus" NA
"SRS050244_NODE_4_length_260311_cov_5.0548" "SRS050244_NODE_4_length_260311_cov_5.0548" 260311 5.0548 FALSE 35.13 FALSE FALSE "Siphoviridae" NA NA 0 51 TRUE "c93" "SRS050244" "US" NA "2"
"SRS055450_NODE_1_length_249585_cov_125.511" "SRS055450_NODE_1_length_249585_cov_125.511" 249585 125.511 FALSE 36.87 FALSE FALSE "Myoviridae" NA NA 0 49 TRUE "c93" "SRS055450" "US" "Streptococcus" NA
"SRS098735_NODE_2_length_239187_cov_11.7302" "SRS098735_NODE_2_length_239187_cov_11.7302" 239187 11.7302 FALSE 36.88 FALSE FALSE "Myoviridae" NA NA 0 52 TRUE "c93" "SRS098735" "US" "Streptococcus" NA
"ERR589496_NODE_5_length_325765_cov_22.4085" "ERR589496_NODE_5_length_325765_cov_22.4085" 325765 22.4085 TRUE 32.36 FALSE FALSE "Myoviridae" NA NA 0 103 TRUE "c425" "ERR589496" "China" NA "1"
"SRS014470_NODE_1_length_389119_cov_8.88358" "SRS014470_NODE_1_length_389119_cov_8.88358" 389119 8.88358 TRUE 26.52 FALSE FALSE "Myoviridae" NA NA 1 90 TRUE "c134" "SRS014470" "US" NA "2"
"ERR589390_NODE_5_length_254595_cov_11.1926" "ERR589390_NODE_5_length_254595_cov_11.1926" 254595 11.1926 TRUE 34.9 FALSE FALSE "Myoviridae" NA NA 0 99 FALSE "c87" "ERR589390" "China" NA "1"
"ERR589476_NODE_12_length_267042_cov_70.8591" "ERR589476_NODE_12_length_267042_cov_70.8591" 267042 70.8591 TRUE 36.36 FALSE FALSE "Myoviridae" NA NA 0 98 FALSE "c87" "ERR589476" "China" "Neisseria" "4"
"ERR589488_NODE_7_length_248958_cov_38.8047" "ERR589488_NODE_7_length_248958_cov_38.8047" 248958 38.8047 TRUE 34.91 FALSE FALSE "Myoviridae" NA NA 0 97 FALSE "c87" "ERR589488" "China" NA "2"
"ERR589604_NODE_12_length_252163_cov_229.014" "ERR589604_NODE_12_length_252163_cov_229.014" 252163 229.014 TRUE 37.15 FALSE FALSE "Myoviridae" NA NA 0 95 FALSE "c87" "ERR589604" "China" "Neisseria" "4"
"ERR589608_NODE_12_length_236194_cov_64.3221" "ERR589608_NODE_12_length_236194_cov_64.3221" 236194 64.3221 TRUE 42.41 FALSE FALSE "Myoviridae" NA NA 0 74 FALSE "c207" "ERR589608" "China" NA "4"
"SRS011126_NODE_5_length_239560_cov_87.3339" "SRS011126_NODE_5_length_239560_cov_87.3339" 239560 87.3339 TRUE 42.29 FALSE FALSE "Myoviridae" NA NA 0 75 FALSE "c207" "SRS011126" "US" NA "5"
"SRS012285_NODE_4_length_256964_cov_25.8191" "SRS012285_NODE_4_length_256964_cov_25.8191" 256964 25.8191 TRUE 36.95 FALSE FALSE "Myoviridae" NA NA 0 99 FALSE "c87" "SRS012285" "US" "Neisseria" "5"
"SRS017304_NODE_5_length_258288_cov_116.449" "SRS017304_NODE_5_length_258288_cov_116.449" 258288 116.449 TRUE 36.91 FALSE FALSE "Myoviridae" NA NA 0 97 FALSE "c87" "SRS017304" "US" "Neisseria" "5"
"SRS022083_NODE_5_length_256959_cov_38.953" "SRS022083_NODE_5_length_256959_cov_38.953" 256959 38.953 TRUE 36.95 FALSE FALSE "Myoviridae" NA NA 0 99 FALSE "c87" "SRS022083" "US" "Neisseria" NA
"SRS044230_NODE_9_length_235552_cov_53.6224" "SRS044230_NODE_9_length_235552_cov_53.6224" 235552 53.6224 TRUE 42.36 FALSE FALSE "Myoviridae" NA NA 0 74 FALSE "c207" "SRS044230" "US" NA NA
"SRS051378_NODE_2_length_237850_cov_42.8995" "SRS051378_NODE_2_length_237850_cov_42.8995" 237850 42.8995 TRUE 42.41 FALSE FALSE "Myoviridae" NA NA 0 74 FALSE "c207" "SRS051378" "US" NA "3"
"SRS065099_NODE_6_length_232979_cov_10.3215" "SRS065099_NODE_6_length_232979_cov_10.3215" 232979 10.3215 TRUE 42.35 FALSE FALSE "Myoviridae" NA NA 0 75 FALSE "c207" "SRS065099" "US" NA NA
"SRS078431_NODE_11_length_258293_cov_26.0675" "SRS078431_NODE_11_length_258293_cov_26.0675" 258293 26.0675 TRUE 36.91 FALSE FALSE "Myoviridae" NA NA 0 98 FALSE "c87" "SRS078431" "US" "Neisseria" NA
"ERR589426_NODE_11_length_235074_cov_32.5489" "ERR589426_NODE_11_length_235074_cov_32.5489" 235074 32.5489 TRUE 33.8 FALSE FALSE "Myoviridae" NA NA 0 87 FALSE "c207" "ERR589426" "China" NA "1"
"ERR589493_NODE_3_length_236490_cov_7.91112" "ERR589493_NODE_3_length_236490_cov_7.91112" 236490 7.91112 TRUE 33.82 FALSE FALSE "Myoviridae" NA NA 0 84 FALSE "c207" "ERR589493" "China" NA "1"
"ERR589642_NODE_13_length_243671_cov_9.19983" "ERR589642_NODE_13_length_243671_cov_9.19983" 243671 9.19983 TRUE 33.71 FALSE FALSE "Myoviridae" NA NA 0 88 FALSE "c207" "ERR589642" "China" NA "4"
"ERR589663_NODE_10_length_234793_cov_65.7821" "ERR589663_NODE_10_length_234793_cov_65.7821" 234793 65.7821 TRUE 33.78 FALSE FALSE "Myoviridae" NA NA 0 87 FALSE "c207" "ERR589663" "China" NA "1"
"SRS015745_NODE_1_length_241528_cov_13.1549" "SRS015745_NODE_1_length_241528_cov_13.1549" 241528 13.1549 TRUE 33.64 FALSE FALSE "Myoviridae" NA NA 0 89 FALSE "c207" "SRS015745" "US" NA "3"
"SRS016225_NODE_7_length_239763_cov_99.4661" "SRS016225_NODE_7_length_239763_cov_99.4661" 239763 99.4661 TRUE 33.64 FALSE FALSE "Myoviridae" NA NA 0 85 FALSE "c207" "SRS016225" "US" NA "2"
"SRS017007_NODE_17_length_236619_cov_168.821" "SRS017007_NODE_17_length_236619_cov_168.821" 236619 168.821 TRUE 33.77 FALSE FALSE "Myoviridae" NA NA 0 86 FALSE "c207" "SRS017007" "US" NA "2"
"SRS019974_NODE_2_length_240432_cov_14.8021" "SRS019974_NODE_2_length_240432_cov_14.8021" 240432 14.8021 TRUE 33.66 FALSE FALSE "Myoviridae" NA NA 0 84 FALSE "c207" "SRS019974" "US" NA "2"
"SRS022143_NODE_9_length_204796_cov_9.87473" "SRS022143_NODE_9_length_204796_cov_9.87473" 204796 9.87473 TRUE 33.63 FALSE FALSE "Myoviridae" NA NA 0 70 FALSE "c207" "SRS022143" "US" NA "2"
"SRS022530_NODE_12_length_242324_cov_7.65304" "SRS022530_NODE_12_length_242324_cov_7.65304" 242324 7.65304 TRUE 33.6 FALSE FALSE "Myoviridae" NA NA 0 84 FALSE "c207" "SRS022530" "US" NA "2"
"SRS048791_NODE_4_length_204838_cov_14.6621" "SRS048791_NODE_4_length_204838_cov_14.6621" 204838 14.6621 TRUE 33.63 FALSE FALSE "Myoviridae" NA NA 0 70 FALSE "c207" "SRS048791" "US" NA NA
"SRS057205_NODE_11_length_241494_cov_45.0098" "SRS057205_NODE_11_length_241494_cov_45.0098" 241494 45.0098 TRUE 33.64 FALSE FALSE "Myoviridae" NA NA 0 89 FALSE "c207" "SRS057205" "US" NA NA
"SRS063288_NODE_2_length_242314_cov_12.5538" "SRS063288_NODE_2_length_242314_cov_12.5538" 242314 12.5538 TRUE 33.6 FALSE FALSE "Myoviridae" NA NA 0 84 FALSE "c207" "SRS063288" "US" NA NA
