"name" "size" "coverage" "circular" "gc_content" "hit_to_vir_refseq" "hit_to_crasslike" "demovir" "vir_refseq" "crasslike" "ribo_prot_count" "pvogs_count" "integrase" "sample" "country" "vcontact_cluster" "crispr_host"
"1" "ERR589366_NODE_2_length_252267_cov_5.86855" 252267 5.86855 FALSE 37.21 FALSE FALSE "Myoviridae" NA NA 0 94 FALSE "ERR589366" "China" "VC_1419_6" NA
"2" "ERR589374_NODE_1_length_250771_cov_7.48575" 250771 7.48575 TRUE 39.7 FALSE FALSE "Myoviridae" NA NA 0 85 FALSE "ERR589374" "China" NA NA
"3" "ERR589390_NODE_5_length_254595_cov_11.1926" 254595 11.1926 TRUE 34.9 FALSE FALSE "Myoviridae" NA NA 0 99 FALSE "ERR589390" "China" "VC_1419_0" NA
"4" "ERR589418_NODE_3_length_253054_cov_15.5374" 253054 15.5374 FALSE 37.11 FALSE FALSE "Myoviridae" NA NA 0 96 FALSE "ERR589418" "China" "VC_1419_6" NA
"5" "ERR589420_NODE_6_length_229992_cov_13.7426" 229992 13.7426 TRUE 31.65 FALSE FALSE "Myoviridae" NA NA 0 56 FALSE "ERR589420" "China" NA NA
"6" "ERR589420_NODE_11_length_203503_cov_92.1356" 203503 92.1356 TRUE 31.51 FALSE FALSE "Myoviridae" NA NA 0 66 FALSE "ERR589420" "China" "VC_240_3" NA
"7" "ERR589420_NODE_12_length_203291_cov_5.79902" 203291 5.79902 FALSE 30.2 FALSE FALSE "Myoviridae" NA NA 1 56 FALSE "ERR589420" "China" NA "Veillonella"
"8" "ERR589426_NODE_11_length_235074_cov_32.5489" 235074 32.5489 TRUE 33.8 FALSE FALSE "Myoviridae" NA NA 0 87 FALSE "ERR589426" "China" "VC_3541_1" NA
"9" "ERR589432_NODE_16_length_215843_cov_9.61145" 215843 9.61145 FALSE 39.33 FALSE FALSE "Myoviridae" NA NA 0 76 FALSE "ERR589432" "China" "VC_2385_1" NA
"10" "ERR589450_NODE_4_length_248605_cov_22.8517" 248605 22.8517 FALSE 35 FALSE FALSE "Myoviridae" NA NA 0 96 FALSE "ERR589450" "China" "VC_1419_0" NA
"11" "ERR589450_NODE_5_length_232074_cov_25.7624" 232074 25.7624 FALSE 42.35 FALSE FALSE "Myoviridae" NA NA 0 77 FALSE "ERR589450" "China" "" NA
"12" "ERR589470_NODE_5_length_228082_cov_20.6637" 228082 20.6637 FALSE 30.69 FALSE FALSE "Myoviridae" NA NA 0 77 TRUE "ERR589470" "China" "" "Prevotella"
"13" "ERR589470_NODE_6_length_223240_cov_12.608" 223240 12.608 FALSE 38.53 FALSE FALSE "Other" NA NA 0 52 FALSE "ERR589470" "China" "VC_2465_0" NA
"14" "ERR589476_NODE_12_length_267042_cov_70.8591" 267042 70.8591 TRUE 36.36 FALSE FALSE "Myoviridae" NA NA 0 98 FALSE "ERR589476" "China" "VC_1419_6" "Neisseria"
"15" "ERR589482_NODE_15_length_215171_cov_15.0685" 215171 15.0685 FALSE 30.27 FALSE FALSE "Myoviridae" NA NA 0 67 FALSE "ERR589482" "China" "" NA
