name	length	taxonomy	host	circular	reference	environment	phylum
NC_041884.1	234900	Viruses_Caudovirales_Myoviridae_Metrivirus_Acinetobacter virus ME3	Acinetobacter phage vB_AbaM_ME3	linear	Genome Sequence of Jumbo Phage vB_AbaM_ME3 of Acinetobacter baumanni	"wastewater influent, Ireland: Co. Cork"	Proteobacteria
NC_019538.1	231743	Viruses_Caudovirales_Myoviridae_Tevenvirinae_unclassified Tevenvirinae	Aeromonas phage CC2	linear	Complete Genome Sequence of Aeromonas hydrophila Phage CC2	"sewage, China"	Proteobacteria
NC_014636.1	225268	Viruses_Caudovirales_Myoviridae_Tevenvirinae_unclassified Tevenvirinae	Aeromonas phage phiAS5	linear	Complete genome sequence and characterization of a broad-host range T4-like bacteriophage phiAS5 infecting Aeromonas salmonicida subsp. salmonicida	"river, South Korea"	Proteobacteria
NC_023688.1	222006	Viruses_Caudovirales_Myoviridae_Tevenvirinae_unclassified Tevenvirinae	Aeromonas phage PX29	linear	Genomes of the T4-related bacteriophages as windows on microbial genome evolution	NA	Proteobacteria
NC_015251.1	235229	Viruses_Caudovirales_Myoviridae_Tevenvirinae	Aeromonas virus 65	linear	Genomes of the T4-related bacteriophages as windows on microbial genome evolution	NA	Proteobacteria
NC_005260.1	233234	Viruses_Caudovirales_Myoviridae_Tevenvirinae	Aeromonas virus Aeh1 (Aeh1)	linear	Phylogeny of the major head and tail genes of the wide-ranging T4-type bacteriophages	NA	Proteobacteria
NC_042013.1	490380	Viruses_Caudovirales_Myoviridae_Polybotosvirus_Agrobacterium virus Atuph07	Agrobacterium phage Atu_ph07	circular	Direct Submission	NA	Proteobacteria
NC_009760.1	218948	Viruses_Caudovirales_Myoviridae	Bacillus phage 0305phi8-36	linear	"Complete genomic sequence and mass spectrometric analysis of highly diverse, atypical Bacillus thuringiensis phage 0305phi8-36"	NA	Firmicutes
NC_031039.1	251042	Viruses_Caudovirales_Myoviridae	Bacillus phage AR9	linear	"The genome of AR9, a giant transducing Bacillus phage encoding two multisubunit RNA polymerases"	NA	Firmicutes
NC_031245.1	221908	Viruses_Caudovirales_Myoviridae_Thornevirus_Bacillus virus SP15	Bacillus phage SP-15	linear	The Sequence of Two Bacteriophages with Hypermodified Bases Reveals Novel Phage-Host Interactions	"soil sample, USA"	Firmicutes
NC_023719.1	497513	Viruses_Caudovirales_Myoviridae	Bacillus virus G	linear	Direct Submission	"soil, Italy"	Firmicutes
NC_043027.1	252197	Viruses_Caudovirales_Myoviridae	Bacillus virus PBS1	linear	Direct Submission	NA	Firmicutes
NC_019406.1	279967	Viruses_Caudovirales_Siphoviridae	Caulobacter phage CcrColossus	linear	The Caulobacter crescentus phage phiCbK: genomics of a canonical phage	"surface water, USA: College Station, TX"	Proteobacteria
NC_019410.1	221828	Viruses_Caudovirales_Siphoviridae_Phicbkvirus	Caulobacter virus Karma	linear	The Caulobacter crescentus phage phiCbK: genomics of a canonical phage	"surface water, USA: TX"	Proteobacteria
NC_019407.1	218929	Viruses_Caudovirales_Siphoviridae_Phicbkvirus	Caulobacter virus Magneto	linear	The Caulobacter crescentus phage phiCbK: genomics of a canonical phage	"surface water, USA: College Station, TX"	Proteobacteria
NC_019405.1	215710	Viruses_Caudovirales_Siphoviridae_Phicbkvirus	Caulobacter virus phiCbK	linear	The Caulobacter crescentus phage phiCbK: genomics of a canonical phage	NA	Proteobacteria
NC_019408.1	223720	Viruses_Caudovirales_Siphoviridae_Phicbkvirus	Caulobacter virus Rogue	linear	The Caulobacter crescentus phage phiCbK: genomics of a canonical phage	"surface water, USA: College Station, TX"	Proteobacteria
NC_019411.1	219216	Viruses_Caudovirales_Siphoviridae_Phicbkvirus	Caulobacter virus Swift	linear	The Caulobacter crescentus phage phiCbK: genomics of a canonical phage	"surface water, USA: College Station, TX"	Proteobacteria
NC_021531.1	223989	Viruses_Caudovirales_Myoviridae	Cronobacter phage CR5	linear	A Novel Bacteriophage Targeting Cronobacter sakazakii Is a Potential Biocontrol Agent in Foods	NA	Proteobacteria
NC_019401.1	358663	Viruses_Caudovirales_Myoviridae_Eneladusvirus_unclassified Eneladusvirus	Cronobacter phage vB_CsaM_GAP32	linear	Supersize me: Cronobacter sakazakii phage GAP32	NA	Proteobacteria
